"Issue","Category","Severity","Guidance","Component","Location","Line #","Module","Type","Member","Statement","Comments"
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","20","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","30","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","40","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","50","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","60","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","70","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","80","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","90","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","100","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","110","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","120","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","130","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","140","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","150","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","160","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","170","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","180","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","190","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","200","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","210","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","220","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","230","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","240","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","250","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
